vehicle_id,timestamp,speed_kmph,engine_temp_c,oil_pressure_psi,vibration_g,mileage_km,age_months,fault,time_to_failure_days
VEH032,2012-10-18 14:47:16.525117,70.73,90.89,43.74,0.265,37852,109,1,46.0
VEH096,2012-10-19 14:47:16.525117,74.07,97.29,47.22,0.127,11682,31,1,42.0
VEH088,2012-10-20 14:47:16.525117,54.68,79.92,38.86,0.073,6073,109,0,
VEH052,2012-10-21 14:47:16.525117,52.21,95.04,28.33,0.504,213,56,0,
VEH062,2012-10-22 14:47:16.525117,62.3,87.15,42.45,0.124,41015,74,1,4.0
VEH058,2012-10-23 14:47:16.525117,62.67,75.85,36.24,0.031,15329,67,1,9.0
VEH052,2012-10-24 14:47:16.525117,60.81,90.15,35.72,0.359,74085,77,0,
VEH012,2012-10-25 14:47:16.525117,61.43,100.6,40.81,0.343,25082,111,0,
VEH039,2012-10-26 14:47:16.525117,48.77,96.5,46.74,0.399,1676,114,0,
VEH002,2012-10-27 14:47:16.525117,71.25,89.95,44.44,0.563,17743,78,1,32.0
VEH003,2012-10-28 14:47:16.525117,68.99,99.46,41.63,0.433,345,44,0,
VEH056,2012-10-29 14:47:16.525117,39.96,90.54,39.0,0.07,16319,89,0,
VEH081,2012-10-30 14:47:16.525117,54.16,97.56,31.32,0.478,8621,16,1,37.0
VEH059,2012-10-31 14:47:16.525117,61.4,76.78,43.41,0.201,20616,109,0,
VEH002,2012-11-01 14:47:16.525117,51.99,79.6,45.35,0.273,15599,69,0,
VEH002,2012-11-02 14:47:16.525117,69.56,96.31,35.8,0.084,6058,91,1,20.0
VEH092,2012-11-03 14:47:16.525117,59.0,102.26,36.58,0.437,3543,85,0,
VEH054,2012-11-04 14:47:16.525117,62.54,93.47,46.31,0.122,10374,111,0,
VEH087,2012-11-05 14:47:16.525117,53.99,85.72,38.07,0.359,86605,107,0,
VEH096,2012-11-06 14:47:16.525117,30.1,81.7,39.21,0.15,11443,47,1,25.0
VEH097,2012-11-07 14:47:16.525117,29.24,85.94,39.88,0.388,27629,15,0,
VEH001,2012-11-08 14:47:16.525117,68.84,100.15,42.98,0.156,1173,94,1,27.0
VEH019,2012-11-09 14:47:16.525117,64.0,87.46,42.01,0.053,9524,24,1,13.0
VEH002,2012-11-10 14:47:16.525117,66.58,98.71,40.44,0.262,17365,9,0,
VEH053,2012-11-11 14:47:16.525117,62.02,95.32,48.58,0.367,27821,88,0,
VEH044,2012-11-12 14:47:16.525117,63.22,103.87,36.16,0.198,15031,8,1,15.0
VEH090,2012-11-13 14:47:16.525117,74.54,92.33,34.06,0.342,14484,86,0,
VEH032,2012-11-14 14:47:16.525117,66.67,89.94,46.14,0.431,28870,19,1,21.0
VEH070,2012-11-15 14:47:16.525117,75.61,99.56,40.43,0.149,7516,15,0,
VEH032,2012-11-16 14:47:16.525117,62.57,82.65,37.2,0.294,1899,11,0,
VEH068,2012-11-17 14:47:16.525117,55.49,86.22,38.22,0.362,8528,36,0,
VEH055,2012-11-18 14:47:16.525117,62.91,76.71,33.69,0.205,3463,36,0,
VEH075,2012-11-19 14:47:16.525117,47.46,79.34,42.46,0.234,67595,53,1,3.0
VEH056,2012-11-20 14:47:16.525117,54.3,105.1,29.72,0.164,17231,14,0,
VEH017,2012-11-21 14:47:16.525117,62.66,95.67,43.52,0.394,11833,81,0,
VEH038,2012-11-22 14:47:16.525117,62.46,79.16,37.95,0.255,48620,113,1,14.0
VEH024,2012-11-23 14:47:16.525117,58.4,99.48,30.69,0.37,46124,115,0,
VEH069,2012-11-24 14:47:16.525117,39.18,83.33,47.25,0.576,10746,31,0,
VEH098,2012-11-25 14:47:16.525117,69.55,95.6,52.98,0.297,41545,7,0,
VEH070,2012-11-26 14:47:16.525117,72.51,95.63,42.06,0.377,1323,111,0,
VEH086,2012-11-27 14:47:16.525117,84.66,104.55,36.83,0.566,43381,9,0,
VEH011,2012-11-28 14:47:16.525117,66.63,86.03,34.64,0.273,7438,101,1,27.0
VEH016,2012-11-29 14:47:16.525117,60.02,84.08,42.16,0.163,16653,97,0,
VEH097,2012-11-30 14:47:16.525117,44.8,67.73,46.05,0.248,6285,11,0,
VEH073,2012-12-01 14:47:16.525117,82.38,90.14,40.03,0.198,83728,35,0,
VEH059,2012-12-02 14:47:16.525117,63.72,95.99,44.77,0.51,1489,60,0,
VEH070,2012-12-03 14:47:16.525117,62.9,97.04,48.38,0.412,11846,33,1,11.0
VEH080,2012-12-04 14:47:16.525117,56.19,99.83,31.46,0.22,19403,66,0,
VEH093,2012-12-05 14:47:16.525117,55.23,92.08,41.56,0.123,19122,82,1,28.0
VEH003,2012-12-06 14:47:16.525117,70.32,94.55,28.12,0.346,26846,60,0,
VEH020,2012-12-07 14:47:16.525117,44.68,89.78,35.14,0.337,25777,115,1,49.0
VEH059,2012-12-08 14:47:16.525117,84.38,96.88,43.63,0.148,31514,41,0,
VEH036,2012-12-09 14:47:16.525117,81.11,83.58,40.36,0.386,5338,79,1,48.0
VEH019,2012-12-10 14:47:16.525117,54.69,78.47,31.49,0.342,9256,79,0,
VEH090,2012-12-11 14:47:16.525117,47.04,82.72,47.03,0.315,9626,10,1,26.0
VEH067,2012-12-12 14:47:16.525117,29.77,90.2,36.72,0.415,62398,34,0,
VEH019,2012-12-13 14:47:16.525117,41.23,78.66,46.24,0.095,10529,105,0,
VEH020,2012-12-14 14:47:16.525117,70.95,85.48,43.53,0.138,5017,17,0,
VEH096,2012-12-15 14:47:16.525117,64.73,85.43,35.46,0.238,20012,27,1,50.0
VEH071,2012-12-16 14:47:16.525117,67.4,96.62,44.55,0.238,11146,64,0,
VEH052,2012-12-17 14:47:16.525117,32.32,93.9,41.52,0.395,5755,115,0,
VEH033,2012-12-18 14:47:16.525117,54.06,90.27,41.02,0.422,25114,44,0,
VEH040,2012-12-19 14:47:16.525117,80.51,94.63,36.73,0.218,4262,7,0,
VEH039,2012-12-20 14:47:16.525117,58.56,93.69,33.01,0.188,20067,19,1,13.0
VEH082,2012-12-21 14:47:16.525117,40.92,86.14,37.87,0.409,11261,15,0,
VEH001,2012-12-22 14:47:16.525117,58.33,85.58,37.8,0.131,7688,53,0,
VEH011,2012-12-23 14:47:16.525117,48.43,101.72,43.94,0.316,58368,69,0,
VEH092,2012-12-24 14:47:16.525117,65.01,70.34,32.07,0.05,7843,8,0,
VEH057,2012-12-25 14:47:16.525117,60.31,84.08,49.42,0.182,8539,77,1,40.0
VEH089,2012-12-26 14:47:16.525117,68.15,88.78,49.28,0.068,40902,65,0,
VEH050,2012-12-27 14:47:16.525117,41.73,93.57,35.8,0.51,2763,86,0,
VEH023,2012-12-28 14:47:16.525117,53.27,98.75,47.53,0.496,2287,73,1,29.0
VEH031,2012-12-29 14:47:16.525117,76.36,105.67,32.4,0.257,6645,26,1,33.0
VEH094,2012-12-30 14:47:16.525117,39.69,88.25,46.94,0.361,17911,99,0,
VEH042,2012-12-31 14:47:16.525117,44.95,89.05,35.18,0.08,9699,24,0,
VEH099,2013-01-01 14:47:16.525117,62.99,93.05,45.9,0.409,18758,84,0,
VEH007,2013-01-02 14:47:16.525117,64.3,85.97,31.78,0.147,3481,25,0,
VEH016,2013-01-03 14:47:16.525117,52.67,80.16,47.48,0.433,6061,63,0,
VEH090,2013-01-04 14:47:16.525117,55.82,89.02,47.83,0.372,16655,47,0,
VEH060,2013-01-05 14:47:16.525117,68.0,96.36,30.55,0.277,4896,99,0,
VEH002,2013-01-06 14:47:16.525117,72.74,88.69,50.67,0.232,10991,15,1,50.0
VEH001,2013-01-07 14:47:16.525117,43.96,92.51,45.86,0.334,17002,28,1,39.0
VEH048,2013-01-08 14:47:16.525117,65.46,75.32,29.48,0.088,72726,93,0,
VEH012,2013-01-09 14:47:16.525117,82.68,91.28,36.93,0.475,1665,17,0,
VEH069,2013-01-10 14:47:16.525117,58.26,86.69,46.56,0.329,12339,14,0,
VEH037,2013-01-11 14:47:16.525117,43.8,78.99,45.44,0.39,10092,84,0,
VEH032,2013-01-12 14:47:16.525117,43.11,94.41,40.23,0.045,34772,34,1,26.0
VEH009,2013-01-13 14:47:16.525117,57.59,104.64,44.1,0.376,46111,87,1,59.0
VEH099,2013-01-14 14:47:16.525117,75.54,98.7,33.89,0.381,47505,25,1,58.0
VEH019,2013-01-15 14:47:16.525117,59.39,98.4,39.44,0.341,9404,70,0,
VEH048,2013-01-16 14:47:16.525117,62.84,95.84,34.34,0.333,7266,8,0,
